Individual{TOC=2337.9416423405396, NV=16}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2368.951523267298, NV=13}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2345.722529933815, NV=15}
Individual{TOC=2465.209465160503, NV=11}
Individual{TOC=2352.6041276608644, NV=14}
runTime = 78079.344847ms
