Generation,NV,TOC
1,53,30467.799459
1,54,28881.659488
1,58,27877.956771
1,64,27738.953167
1,65,27371.687049
1,70,26930.595263
1,71,24573.797994
1,75,24057.075271
1,77,23212.716295
1,85,23142.847859
1,119,22585.370547
1,134,21716.777475
2,53,30467.799459
2,54,28881.659488
2,58,27877.956771
2,64,25337.670582
2,67,24159.544631
2,74,22879.736208
2,110,22238.727253
2,116,21590.363338
2,128,21080.851725
3,51,29878.735461
3,54,28881.659488
3,58,27877.956771
3,64,25337.670582
3,67,24159.544631
3,73,23081.174603
3,74,22879.736208
3,92,22772.454464
3,98,22650.061741
3,110,22238.727253
3,116,21590.363338
3,128,21080.851725
4,49,33174.300793
4,51,27962.644601
4,58,27877.956771
4,60,26485.035548
4,62,25071.030225
4,67,24159.544631
4,72,22431.771242
4,73,22333.411374
4,84,22098.549541
4,107,21884.855698
4,112,20939.279329
4,123,20736.539127
5,49,33174.300793
5,50,29133.372163
5,51,27962.644601
5,52,27705.768677
5,58,26951.760823
5,59,26024.837653
5,62,25071.030225
5,66,22965.201591
5,72,22431.771242
5,73,22333.411374
5,79,22140.064571
5,82,22055.317926
5,85,21554.156356
5,86,21489.448490
5,108,21384.392748
5,109,21305.567025
5,112,20939.279329
5,123,20736.539127
6,48,32537.731956
6,50,27768.894169
6,52,27705.768677
6,58,26951.760823
6,59,26024.837653
6,60,25075.589764
6,62,25071.030225
6,66,22965.201591
6,72,22431.771242
6,73,22333.411374
6,79,22140.064571
6,82,21774.997547
6,85,21554.156356
6,86,21489.448490
6,108,21384.392748
6,109,21305.567025
6,112,20939.279329
6,123,20736.539127
7,48,32537.731956
7,50,27768.894169
7,52,27403.923738
7,54,25436.181131
7,60,25075.589764
7,62,25071.030225
7,63,23975.416169
7,65,23716.646631
7,66,22965.201591
7,69,22962.277200
7,72,22431.771242
7,73,22333.411374
7,79,22140.064571
7,80,21609.287022
7,85,21554.156356
7,86,21451.768558
7,87,21344.169969
7,109,21305.567025
7,110,20908.634453
7,123,20736.539127
8,48,32537.731956
8,49,31708.733089
8,50,27378.857650
8,52,26973.355214
8,54,25436.181131
8,60,25075.589764
8,62,25071.030225
8,63,23975.416169
8,65,23716.646631
8,66,22965.201591
8,69,22621.435591
8,72,22431.771242
8,73,22333.411374
8,79,21536.624577
8,83,20607.520242
8,128,20137.118445
9,48,31764.826099
9,49,31708.733089
9,50,27378.857650
9,52,26973.355214
9,54,25436.181131
9,60,24826.202222
9,62,23722.010997
9,65,22569.766870
9,69,21945.420136
9,72,21880.483521
9,76,20609.433563
9,81,20295.595635
9,93,20030.498355
9,125,19892.868884
10,48,31764.826099
10,49,31708.733089
10,50,27378.857650
10,52,26325.938198
10,54,25436.181131
10,56,25289.526233
10,57,24513.379744
10,60,22966.374285
10,65,22569.766870
10,69,21540.999739
10,72,20905.078866
10,76,20609.433563
10,81,20295.595635
10,93,20030.498355
10,125,19892.868884
11,48,31764.826099
11,49,31708.733089
11,50,26124.859287
11,54,25436.181131
11,56,25206.008496
11,57,24513.379744
11,60,22560.442317
11,62,22198.671080
11,67,22171.289363
11,69,21540.999739
11,72,20905.078866
11,76,20522.725124
11,80,20099.465621
11,93,20030.498355
11,125,19892.868884
11,128,19871.722226
12,48,26843.604181
