Generation,NV,TOC
1,14,6438.350021
1,15,6112.184148
1,16,5787.505627
1,17,5754.096429
1,20,5416.702818
1,21,5381.765903
1,22,5261.671330
1,23,5134.398191
1,24,5061.314481
1,25,4961.877847
1,26,4865.807234
1,27,4642.841190
1,28,4625.594589
1,29,4444.811959
2,14,6438.350021
2,15,6112.184148
2,16,5787.505627
2,17,5252.260340
2,23,5134.398191
2,24,5026.547647
2,25,4821.718009
2,26,4746.188319
2,27,4642.841190
2,28,4625.594589
2,29,4444.811959
2,32,4282.032133
3,14,6438.350021
3,15,5695.098412
3,17,5252.260340
3,23,5134.398191
3,24,5026.547647
3,25,4821.718009
3,26,4546.047318
3,29,4444.811959
3,32,4282.032133
4,14,6438.350021
4,15,5695.098412
4,16,5241.584835
4,19,5027.197651
4,23,4903.016489
4,24,4818.720052
4,26,4546.047318
4,29,4430.840451
4,30,4407.097890
4,31,4325.301734
4,32,4282.032133
5,14,6438.350021
5,15,5695.098412
5,16,5241.584835
5,17,5232.678337
5,19,5027.197651
5,21,5022.569695
5,23,4903.016489
5,24,4800.319227
5,25,4721.391811
5,26,4546.047318
5,27,4351.810738
5,31,4269.876872
5,37,4248.546383
6,14,6438.350021
6,15,5695.098412
6,16,5241.584835
6,17,5232.678337
6,19,5027.197651
6,21,5022.569695
6,23,4714.778508
6,24,4587.076160
6,26,4546.047318
6,27,4351.810738
6,29,4322.505965
6,31,4269.876872
6,37,4248.546383
7,14,6357.088908
7,15,5695.098412
7,16,5241.584835
7,17,5232.678337
7,19,5027.197651
7,21,4814.405517
7,23,4714.778508
7,24,4587.076160
7,26,4546.047318
7,27,4351.810738
7,28,4287.655430
7,29,4209.114011
7,32,4152.747828
8,14,6357.088908
8,15,5158.547285
8,18,5122.783008
8,19,5027.197651
8,20,4867.824175
8,21,4814.405517
8,22,4534.920648
8,27,4351.810738
8,28,4263.216458
8,29,4209.114011
8,32,4152.747828
9,14,6357.088908
9,15,5158.547285
9,18,5122.783008
9,19,5027.197651
9,20,4867.824175
9,21,4807.248115
9,22,4534.920648
9,24,4472.778396
9,27,4351.810738
9,28,4263.216458
9,29,4209.114011
9,30,4097.016591
10,14,6223.684305
10,15,5158.547285
10,18,5122.783008
10,19,5027.197651
10,20,4657.492109
10,21,4642.230196
10,22,4534.920648
10,24,4412.006021
10,27,4351.810738
10,28,4263.216458
10,29,4209.114011
10,30,4097.016591
10,31,4059.526010
11,14,6223.684305
11,15,5158.547285
11,18,5122.783008
11,19,5023.989181
11,20,4522.210990
11,24,4385.672460
11,26,4360.592485
11,27,4295.236035
11,28,4062.073172
11,29,4045.980883
12,14,6223.684305
12,15,5158.547285
12,18,5015.983740
12,19,4798.706280
12,20,4522.210990
12,24,4379.596915
12,26,4360.592485
12,27,4047.614217
12,29,4045.980883
13,14,6052.206190
13,15,5158.547285
13,18,5015.983740
13,19,4551.050566
13,20,4522.210990
13,21,4521.865919
13,23,4403.163002
13,24,4379.596915
13,26,4024.346846
13,27,4014.484224
14,14,5780.460911
14,15,5158.547285
14,18,4914.149535
14,19,4551.050566
14,20,4522.210990
14,21,4521.865919
14,23,4374.558124
14,26,4024.346846
14,27,4014.484224
15,13,6592.951860
15,14,5780.460911
15,15,5158.547285
15,18,4914.149535
15,19,4551.050566
15,20,4522.210990
15,21,4521.865919
15,22,4464.617705
15,23,4374.558124
15,25,4298.834254
15,26,4024.346846
15,27,4014.484224
16,13,6466.055518
16,14,5087.830105
16,16,5028.243063
16,18,4853.028250
16,19,4451.352312
16,22,4393.325595
16,23,4371.393023
16,25,4240.142654
16,26,4018.307681
16,27,4009.079020
17,13,6466.055518
17,14,5087.830105
17,16,5028.243063
17,18,4640.126532
17,19,4451.352312
17,20,4408.180611
17,22,4393.325595
17,23,4246.858410
17,25,4232.695555
17,26,4018.307681
17,27,4009.079020
18,13,6466.055518
18,14,5087.830105
18,16,5028.243063
18,18,4640.126532
18,19,4451.352312
18,20,4408.180611
18,22,4393.325595
18,23,4246.858410
18,25,4195.634839
18,26,4018.307681
18,27,4009.079020
19,13,6466.055518
19,14,5087.830105
19,16,5028.243063
19,17,4558.201893
19,19,4451.352312
19,20,4408.180611
19,22,4393.325595
19,23,4246.858410
19,24,4172.125679
19,26,4018.307681
19,27,4009.079020
19,28,4000.633176
20,13,6183.915251
20,14,5087.830105
20,16,5028.243063
20,17,4558.201893
20,19,4451.352312
20,20,4408.180611
20,22,4355.883743
20,23,4246.858410
20,24,4172.125679
20,25,4140.018609
20,26,4018.307681
20,27,4009.079020
20,28,3998.008149
21,12,7581.392907
21,13,6183.915251
21,14,5087.830105
21,16,4898.703735
21,17,4558.201893
21,19,4451.352312
21,20,4408.180611
21,21,4398.608425
21,22,4334.387770
21,23,4246.858410
21,24,4172.125679
21,25,4097.210716
21,26,4018.307681
21,27,4009.079020
21,28,3998.008149
22,12,7581.392907
22,13,6183.915251
22,14,5087.830105
22,16,4898.703735
22,17,4558.201893
22,19,4451.352312
22,20,4230.903087
22,23,4178.691367
22,24,4172.125679
22,25,4097.210716
22,26,4018.307681
22,27,4009.079020
22,28,3998.008149
22,29,3963.789266
23,12,7581.392907
23,13,6002.560557
23,14,5087.830105
23,16,4898.703735
23,17,4558.201893
23,19,4451.352312
23,20,4230.903087
23,23,4178.691367
23,24,4136.200528
23,25,4097.210716
23,26,4018.307681
23,27,4009.079020
23,28,3998.008149
23,29,3963.789266
24,12,7581.392907
24,13,6002.560557
24,14,5087.830105
24,16,4898.703735
24,17,4558.201893
24,19,4451.352312
24,20,4230.903087
24,23,4149.409515
24,24,4089.237032
24,26,4018.307681
24,27,4009.079020
24,28,3998.008149
24,29,3963.789266
25,12,7581.392907
25,13,6002.560557
25,14,5087.830105
25,16,4898.703735
25,17,4558.201893
25,19,4441.807930
25,20,4230.903087
25,22,4150.914317
25,23,4149.409515
25,24,4089.237032
25,26,4018.307681
25,27,4009.079020
25,28,3998.008149
25,29,3963.789266
26,12,6619.622711
26,13,6002.560557
26,14,5087.830105
26,16,4898.703735
26,17,4558.201893
26,19,4441.807930
26,20,4230.903087
26,21,4206.987114
26,22,4150.914317
26,23,4149.409515
26,24,4089.237032
26,26,4018.307681
26,27,4009.079020
26,28,3998.008149
26,29,3963.789266
27,12,6619.622711
27,13,5985.634650
27,14,5087.830105
27,16,4898.703735
27,17,4550.545948
27,19,4281.460379
27,20,4230.903087
27,21,4206.987114
27,22,4148.055730
27,23,4094.308910
27,24,4084.669178
27,26,4018.307681
27,27,4009.079020
27,28,3998.008149
27,29,3963.789266
28,12,6619.622711
28,13,5985.634650
28,14,5087.830105
28,16,4719.192691
28,17,4550.545948
28,18,4546.037136
28,19,4257.655074
28,20,4230.903087
28,21,4206.987114
28,22,4148.055730
28,23,4094.308910
28,24,4084.669178
28,25,4077.194548
28,26,4018.307681
28,27,4009.079020
28,28,3967.021518
28,29,3963.789266
29,12,6412.839421
29,13,5985.634650
29,14,5087.830105
29,15,4691.109859
29,17,4550.545948
29,18,4546.037136
29,19,4257.655074
29,20,4160.458736
29,22,4060.246026
29,24,4049.753724
29,26,4018.307681
29,27,4009.079020
29,28,3967.021518
29,29,3963.789266
30,12,6412.839421
30,13,5985.634650
30,14,5087.830105
30,15,4691.109859
30,17,4488.860975
30,19,4251.765104
30,20,4114.354963
30,22,4050.063480
30,23,4022.521659
30,26,4004.738860
30,28,3958.186771
31,12,6412.839421
31,13,5985.634650
31,14,5087.830105
31,15,4691.109859
31,16,4646.338267
31,17,4488.860975
31,18,4414.984151
31,19,4238.001484
31,20,4114.354963
31,22,4050.063480
31,23,4022.521659
31,26,4004.738860
31,28,3958.186771
32,12,6412.839421
32,13,5985.634650
32,14,5087.830105
32,15,4691.109859
32,16,4646.338267
32,17,4488.860975
32,18,4414.984151
32,19,4196.088730
32,20,4114.354963
32,22,4050.063480
32,23,4022.521659
32,26,4004.738860
32,28,3958.186771
33,11,5990.438088
33,13,5960.067398
33,14,5087.830105
33,15,4691.109859
33,16,4583.572682
33,17,4488.860975
33,18,4414.984151
33,19,4196.088730
33,20,4114.354963
33,22,4050.063480
33,23,4022.521659
33,26,4004.738860
33,28,3958.186771
34,11,5637.323883
34,13,5572.710966
34,14,5087.830105
34,15,4691.109859
34,16,4409.892352
34,17,4295.275925
34,18,4280.694073
34,19,4178.416247
34,20,4114.354963
34,21,4093.770627
34,22,4050.063480
34,23,4022.521659
34,26,4004.738860
34,28,3956.994110
35,11,5637.323883
35,13,5118.110056
35,14,5087.830105
35,15,4691.109859
35,16,4264.757008
35,19,4155.078825
35,20,4101.349465
35,21,4008.692261
35,23,4006.296899
35,24,3934.241933
36,11,5637.323883
36,13,4978.630361
36,15,4691.109859
36,16,4264.757008
36,17,4190.262846
36,18,4146.790169
36,19,4145.054603
36,20,4101.349465
36,21,4008.692261
36,23,4006.296899
36,24,3934.241933
37,11,5637.323883
37,12,5434.585517
37,13,4978.630361
37,14,4931.186039
37,15,4370.829143
37,16,4264.757008
37,17,4190.262846
37,18,4146.790169
37,19,4138.517516
37,20,4078.163763
37,21,4008.692261
37,23,4006.296899
37,24,3934.241933
38,11,5637.323883
38,12,5352.349865
38,13,4978.630361
38,14,4931.186039
38,15,4370.829143
38,16,4242.688719
38,17,4190.262846
38,18,4146.020955
38,19,4101.179108
38,20,4078.163763
38,21,4008.692261
38,23,4006.296899
38,24,3934.241933
39,11,5636.804481
39,12,5352.349865
39,13,4978.630361
39,14,4426.835992
39,15,4370.829143
39,16,4096.228858
39,20,4078.163763
39,21,4008.692261
39,23,3998.191016
39,24,3934.241933
40,11,4617.283200
40,14,4371.712917
40,15,4344.069801
40,16,4083.288716
40,20,4060.352614
40,21,3993.552401
40,23,3991.028876
40,24,3931.472276
41,11,4617.283200
41,14,4371.712917
41,15,4344.069801
41,16,4083.288716
41,19,4070.475626
41,20,4060.352614
41,21,3993.552401
41,23,3991.028876
41,24,3931.472276
42,11,4617.283200
42,14,4371.712917
42,15,4177.699309
42,16,4081.767060
42,19,4056.499066
42,21,3993.552401
42,23,3991.028876
42,24,3931.472276
43,11,4617.283200
43,13,4609.840585
43,14,4371.712917
43,15,4177.699309
43,16,4021.442598
43,21,3993.552401
43,23,3991.028876
43,24,3931.472276
43,25,3914.168495
44,11,4617.283200
44,13,4609.840585
44,14,4371.712917
44,15,4177.699309
44,16,4021.442598
44,21,3966.481827
44,24,3931.472276
44,25,3914.168495
45,11,4560.797898
45,13,4362.794915
45,15,4069.073474
45,16,4021.442598
45,21,3966.481827
45,22,3959.688752
45,23,3924.188872
45,25,3896.776470
46,11,4560.797898
46,12,4450.028628
46,13,4362.794915
46,15,4069.073474
46,16,4021.442598
46,19,3992.403316
46,21,3966.481827
46,22,3959.688752
46,23,3924.188872
46,25,3896.776470
47,11,4560.797898
47,12,4450.028628
47,13,4362.794915
47,14,4155.423099
47,15,4069.073474
47,16,4021.442598
47,19,3992.403316
47,21,3966.481827
47,22,3959.325038
47,23,3924.188872
47,25,3896.776470
48,11,4560.797898
48,12,4450.028628
48,13,4362.794915
48,14,4155.423099
48,15,4069.073474
48,16,4021.442598
48,19,3992.403316
48,21,3966.481827
48,22,3959.325038
48,23,3924.188872
48,25,3896.776470
49,11,4560.797898
49,12,4450.028628
49,13,4362.794915
49,14,4155.423099
49,15,4069.073474
49,16,4018.972906
49,18,3949.033088
49,20,3912.116295
49,25,3896.776470
50,11,4548.511923
50,12,4391.170412
50,13,4236.014197
50,14,4107.520184
50,15,4069.073474
50,16,4009.856339
50,18,3944.140717
50,19,3893.068727
50,25,3883.734941
51,11,4548.511923
51,12,4391.170412
51,13,4236.014197
51,14,4107.520184
51,15,4069.073474
51,16,3963.228273
51,18,3944.140717
51,19,3893.068727
51,25,3883.734941
52,11,4548.511923
52,12,4335.611542
52,13,4236.014197
52,14,4107.520184
52,15,4069.073474
52,16,3963.228273
52,18,3944.140717
52,19,3893.068727
52,25,3883.734941
53,11,4548.511923
53,12,4335.611542
53,13,4205.898365
53,14,4107.520184
53,15,4069.073474
53,16,3963.228273
53,18,3944.140717
53,19,3893.068727
53,25,3883.734941
54,11,4548.511923
54,12,4335.611542
54,13,4185.779917
54,14,4106.248339
54,15,4062.520533
54,16,3963.228273
54,18,3944.140717
54,19,3893.068727
54,25,3883.734941
55,11,4546.576244
55,12,4247.323046
55,13,4144.230970
55,14,4093.364446
55,15,4062.520533
55,16,3951.799565
55,17,3937.846365
55,19,3893.068727
55,22,3875.928027
55,25,3874.856950
56,11,4546.576244
56,12,4247.323046
56,13,4144.230970
56,14,4093.364446
56,15,4062.520533
56,16,3951.799565
56,17,3937.846365
56,19,3893.068727
56,22,3875.928027
56,25,3874.856950
57,11,4546.576244
57,12,4247.323046
57,13,4063.340163
57,15,4062.520533
57,16,3951.799565
57,17,3937.846365
57,19,3893.068727
57,22,3875.928027
57,25,3874.856950
58,11,4546.576244
58,12,4247.323046
58,13,4009.243300
58,14,4003.418939
58,16,3951.799565
58,17,3937.846365
58,19,3893.068727
58,22,3875.928027
58,25,3874.856950
59,11,4546.576244
59,12,4247.323046
59,13,4009.243300
59,14,4003.418939
59,16,3951.799565
59,17,3937.846365
59,19,3893.068727
59,22,3875.928027
59,25,3874.856950
60,10,5799.702982
60,11,4472.030996
60,12,4247.323046
60,13,4009.243300
60,14,3971.570701
60,16,3951.799565
60,17,3937.846365
60,19,3893.068727
60,22,3875.928027
60,25,3874.856950
61,10,5751.869735
61,11,4432.965838
61,12,4247.323046
61,13,4009.243300
61,14,3971.570701
61,16,3951.799565
61,17,3937.846365
61,19,3893.068727
61,22,3875.928027
61,25,3874.856950
62,10,5328.382149
62,11,4432.965838
62,12,4247.323046
62,13,4009.243300
62,14,3971.570701
62,16,3951.799565
62,17,3937.846365
62,19,3893.068727
62,22,3875.928027
62,25,3874.856950
63,10,5328.382149
63,11,4432.965838
63,12,4247.323046
63,13,4009.243300
63,14,3971.570701
63,16,3951.799565
63,17,3937.846365
63,19,3893.068727
63,22,3875.928027
63,25,3874.856950
64,10,5328.382149
64,11,4432.965838
64,12,4247.323046
64,13,4009.243300
64,14,3971.570701
64,16,3926.094018
64,19,3893.068727
64,22,3851.920045
65,10,5189.363680
65,11,4416.249597
65,12,4245.714744
65,13,4009.007851
65,14,3957.889468
65,16,3926.094018
65,19,3875.132423
65,22,3837.130974
66,10,5189.363680
66,11,4416.249597
66,12,4245.714744
66,13,4009.007851
66,14,3957.889468
66,16,3926.094018
66,19,3875.132423
66,21,3814.723970
67,10,5189.363680
67,11,4416.249597
67,12,4245.714744
67,13,4009.007851
67,14,3953.480283
67,16,3926.094018
67,19,3875.132423
67,21,3814.723970
67,22,3796.030693
68,10,5189.363680
68,11,4416.249597
68,12,4245.714744
68,13,4009.007851
68,14,3940.510174
68,16,3926.094018
68,19,3875.132423
68,21,3814.723970
68,22,3796.030693
69,10,5189.363680
69,11,4352.926079
69,12,4171.966898
69,13,4009.007851
69,14,3940.510174
69,16,3926.094018
69,19,3875.132423
69,20,3858.964408
69,21,3814.723970
69,22,3795.735594
70,10,5139.602207
70,11,4322.979314
70,12,4157.272479
70,13,3992.247427
70,14,3915.815751
70,18,3855.724216
70,20,3850.016092
70,21,3794.926114
71,10,5139.602207
71,11,4322.979314
71,12,4157.272479
71,13,3992.247427
71,14,3915.815751
71,17,3903.815401
71,18,3855.724216
71,20,3850.016092
71,21,3790.525756
72,10,5139.602207
72,11,4322.979314
72,12,4054.765359
72,13,3937.823661
72,14,3915.815751
72,15,3914.821077
72,17,3903.815401
72,18,3855.724216
72,20,3850.016092
72,21,3790.525756
73,10,5139.602207
73,11,4318.124873
73,12,4054.765359
73,13,3910.021907
73,17,3903.815401
73,18,3855.724216
73,20,3850.016092
73,21,3790.525756
74,10,5139.602207
74,11,4318.124873
74,12,3956.480909
74,13,3910.021907
74,17,3903.815401
74,18,3855.724216
74,20,3850.016092
74,21,3790.525756
75,10,5067.552064
75,11,4318.124873
75,12,3955.282831
75,13,3910.021907
75,16,3882.129456
75,18,3855.724216
75,20,3846.536056
75,21,3790.525756
76,10,5067.552064
76,11,4318.124873
76,12,3955.282831
76,13,3871.967728
76,18,3855.724216
76,20,3846.536056
76,21,3790.525756
77,10,5067.552064
77,11,4318.124873
77,12,3943.985882
77,13,3871.967728
77,18,3855.724216
77,20,3846.536056
77,21,3790.525756
78,10,5067.552064
78,11,4318.124873
78,12,3943.985882
78,13,3871.967728
78,18,3855.724216
78,20,3846.536056
78,21,3790.525756
79,10,5067.552064
79,11,4305.740970
79,12,3943.985882
79,13,3871.967728
79,18,3855.724216
79,20,3846.536056
79,21,3790.525756
80,10,4803.869350
80,11,4292.340187
80,12,3942.634315
80,13,3864.908379
80,15,3855.380963
80,17,3844.710028
80,21,3790.525756
81,10,4803.869350
81,11,4287.757010
81,12,3942.634315
81,13,3864.908379
81,15,3855.380963
81,16,3822.998515
81,21,3790.525756
82,10,4803.869350
82,11,4287.757010
82,12,3942.634315
82,13,3864.908379
82,15,3855.380963
82,16,3822.998515
82,21,3790.525756
83,10,4803.869350
83,11,4287.757010
83,12,3942.634315
83,13,3864.908379
83,15,3855.380963
83,16,3822.998515
83,21,3790.525756
84,10,4803.869350
84,11,4287.757010
84,12,3937.514099
84,13,3824.084610
84,16,3822.998515
84,17,3812.387983
84,21,3790.525756
85,10,4776.487164
85,11,4280.454154
85,12,3933.920543
85,13,3817.913397
85,17,3808.341159
85,21,3781.775438
86,10,4776.487164
86,11,4280.454154
86,12,3933.920543
86,13,3817.913397
86,17,3808.341159
86,18,3804.374236
86,21,3781.775438
87,10,4776.487164
87,11,4273.921972
87,12,3933.920543
87,13,3817.913397
87,17,3808.341159
87,18,3804.374236
87,21,3781.775438
88,10,4776.487164
88,11,4273.921972
88,12,3933.920543
88,13,3817.913397
88,17,3808.341159
88,18,3804.374236
88,21,3781.775438
89,10,4776.487164
89,11,4273.921972
89,12,3907.814173
89,13,3817.913397
89,17,3808.341159
89,18,3804.374236
89,21,3781.775438
90,10,4727.735111
90,11,4266.327714
90,12,3896.740602
90,13,3817.913397
90,17,3808.341159
90,18,3802.013273
90,20,3770.661389
91,10,4727.735111
91,11,4266.327714
91,12,3871.101761
91,13,3817.913397
91,17,3808.341159
91,18,3802.013273
91,20,3770.661389
92,10,4727.735111
92,11,4266.327714
92,12,3871.101761
92,13,3815.287790
92,17,3808.341159
92,18,3802.013273
92,20,3770.661389
93,10,4695.097109
93,11,4263.440659
93,12,3871.101761
93,13,3815.287790
93,17,3808.341159
93,18,3802.013273
93,20,3770.661389
94,10,4695.097109
94,11,4253.077039
94,12,3871.101761
94,13,3815.287790
94,17,3808.341159
94,18,3802.013273
94,20,3770.661389
95,10,4589.702024
95,11,4250.877550
95,12,3869.047123
95,13,3815.287790
95,16,3794.946980
95,20,3767.273409
96,10,4589.702024
96,11,4250.877550
96,12,3869.047123
96,13,3815.287790
96,16,3794.946980
96,17,3784.909072
96,20,3767.273409
97,10,4589.702024
97,11,4250.877550
97,12,3869.047123
97,13,3815.287790
97,14,3792.495465
97,17,3784.909072
97,20,3767.273409
98,10,4589.702024
98,11,4250.877550
98,12,3869.047123
98,13,3815.287790
98,14,3792.495465
98,15,3745.240665
99,10,4589.702024
99,11,4250.877550
99,12,3869.047123
99,13,3815.287790
99,14,3792.495465
99,15,3745.240665
100,10,4569.601388
100,11,4250.877550
100,12,3856.070320
100,13,3815.287790
100,14,3734.058502
101,10,4569.601388
101,11,4226.351580
101,12,3856.070320
101,13,3815.287790
101,14,3734.058502
102,10,4569.601388
102,11,4226.351580
102,12,3849.000954
102,13,3815.287790
102,14,3734.058502
103,10,4569.601388
103,11,4088.129105
103,12,3849.000954
103,13,3815.287790
103,14,3734.058502
104,10,4569.601388
104,11,4088.129105
104,12,3842.944726
104,13,3815.287790
