Individual{TOC=2692.7644551522803, NV=17}
Individual{TOC=2697.748814775613, NV=15}
Individual{TOC=2754.089138591968, NV=14}
Individual{TOC=2653.24969659821, NV=20}
Individual{TOC=2955.67054627604, NV=11}
Individual{TOC=3049.955004293108, NV=10}
Individual{TOC=3049.955004293108, NV=10}
Individual{TOC=2893.7654209460843, NV=12}
Individual{TOC=2857.0410212373004, NV=13}
Individual{TOC=2893.7654209460843, NV=12}
runTime = 64836.819107ms
